unit_id,t,value,episode_id,context
B,23,1.0194,episode_0001,Z
C,23,0.01053,episode_0001,Z
D,23,0.03855,episode_0001,Z
E,23,0.98143,episode_0001,Z
F,23,0.02321,episode_0001,Z
G,23,0.05258,episode_0001,Z
H,23,0.02221,episode_0001,Z
A,24,0.02944,episode_0001,Z
B,24,0.94245,episode_0001,Z
C,24,0.04112,episode_0001,Z
D,24,0.04085,episode_0001,Z
E,24,0.98056,episode_0001,Z
F,24,0.02661,episode_0001,Z
G,24,0.01556,episode_0001,Z
H,24,0.02809,episode_0001,Z
A,25,0.04002,episode_0001,Z
B,25,0.02216,episode_0001,Z
C,25,0.03392,episode_0001,Z
D,25,0.04029,episode_0001,Z
E,25,0.01787,episode_0001,Z
F,25,0.03805,episode_0001,Z
G,25,0.01101,episode_0001,Z
H,25,0.03598,episode_0001,Z
A,26,0.02616,episode_0001,Z
B,26,0.01874,episode_0001,Z
C,26,0.02825,episode_0001,Z
D,26,0.02353,episode_0001,Z
E,26,0.01329,episode_0001,Z
F,26,0.03984,episode_0001,Z
G,26,0.04072,episode_0001,Z
H,26,0.01956,episode_0001,Z
A,27,0.02541,episode_0001,Z
B,27,0.02464,episode_0001,Z
C,27,0.02695,episode_0001,Z
D,27,0.0171,episode_0001,Z
E,27,1.00018,episode_0001,Z
F,27,1.04267,episode_0001,Z
G,27,0.02482,episode_0001,Z
H,27,0.0222,episode_0001,Z
A,28,0.02773,episode_0001,Z
B,28,0.03588,episode_0001,Z
C,28,0.03603,episode_0001,Z
D,28,0.01914,episode_0001,Z
E,28,0.95469,episode_0001,Z
F,28,1.03257,episode_0001,Z
G,28,0.01919,episode_0001,Z
H,28,0.02941,episode_0001,Z
A,29,0.01476,episode_0001,Z
B,29,0.02257,episode_0001,Z
C,29,0.03379,episode_0001,Z
D,29,0.02278,episode_0001,Z
E,29,0.95143,episode_0001,Z
F,29,1.09306,episode_0001,Z
G,29,0.0268,episode_0001,Z
H,29,0.02969,episode_0001,Z
A,30,0.0305,episode_0001,Z
B,30,0.01961,episode_0001,Z
C,30,0.01988,episode_0001,Z
D,30,0.03747,episode_0001,Z
E,30,0.02039,episode_0001,Z
F,30,0.02645,episode_0001,Z
G,30,0.0018,episode_0001,Z
H,30,0.01924,episode_0001,Z
A,31,0.01922,episode_0001,Z
B,31,0.01494,episode_0001,Z
C,31,0.04386,episode_0001,Z
D,31,0.02598,episode_0001,Z
E,31,0.01106,episode_0001,Z
F,31,0.02969,episode_0001,Z
G,31,0.02906,episode_0001,Z
H,31,0.02934,episode_0001,Z
A,34,0.02935,episode_0002,N
B,34,0.94783,episode_0002,N
C,34,0.03606,episode_0002,N
D,34,0.0325,episode_0002,N
E,34,0.98814,episode_0002,N
F,34,0.02451,episode_0002,N
G,34,0.02996,episode_0002,N
H,34,0.03067,episode_0002,N
A,35,0.02384,episode_0002,N
B,35,1.00755,episode_0002,N
C,35,0.02842,episode_0002,N
D,35,0.02626,episode_0002,N
E,35,1.00458,episode_0002,N
F,35,0.01796,episode_0002,N
G,35,0.03143,episode_0002,N
H,35,0.02561,episode_0002,N
A,36,0.01335,episode_0002,N
B,36,1.01917,episode_0002,N
C,36,0.02346,episode_0002,N
D,36,0.03637,episode_0002,N
E,36,1.02689,episode_0002,N
F,36,0.04169,episode_0002,N
G,36,0.03234,episode_0002,N
H,36,0.03943,episode_0002,N
A,37,0.00467,episode_0002,N
B,37,0.01508,episode_0002,N
C,37,0.02365,episode_0002,N
D,37,0.02629,episode_0002,N
E,37,0.04748,episode_0002,N
F,37,0.02897,episode_0002,N
G,37,0.01739,episode_0002,N
H,37,0.03425,episode_0002,N
A,38,0.0311,episode_0002,N
B,38,0.02228,episode_0002,N
C,38,0.03731,episode_0002,N
D,38,0.04071,episode_0002,N
E,38,0.02691,episode_0002,N
F,38,0.01997,episode_0002,N
G,38,0.03581,episode_0002,N
H,38,0.03308,episode_0002,N
A,39,0.95679,episode_0002,N
B,39,0.00745,episode_0002,N
C,39,0.03897,episode_0002,N
D,39,0.02399,episode_0002,N
E,39,0.03757,episode_0002,N
F,39,0.02875,episode_0002,N
G,39,0.03682,episode_0002,N
H,39,1.0151,episode_0002,N
A,40,0.99799,episode_0002,N
B,40,0.03906,episode_0002,N
C,40,0.02841,episode_0002,N
D,40,0.03198,episode_0002,N
E,40,0.0297,episode_0002,N
F,40,0.02033,episode_0002,N
G,40,0.02802,episode_0002,N
H,40,0.95424,episode_0002,N
A,41,0.92388,episode_0002,N
B,41,0.04038,episode_0002,N
C,41,0.03493,episode_0002,N
D,41,0.04029,episode_0002,N
E,41,0.04096,episode_0002,N
F,41,0.02146,episode_0002,N
G,41,0.02298,episode_0002,N
H,41,1.00364,episode_0002,N
A,42,0.02649,episode_0002,N
B,42,0.03214,episode_0002,N
C,42,0.02367,episode_0002,N
D,42,0.04211,episode_0002,N
E,42,0.04999,episode_0002,N
F,42,0.03219,episode_0002,N
G,42,0.02876,episode_0002,N
H,42,0.03117,episode_0002,N
A,43,0.02171,episode_0002,N
B,43,0.01563,episode_0002,N
C,43,0.02242,episode_0002,N
D,43,0.03213,episode_0002,N
E,43,0.02665,episode_0002,N
F,43,0.0211,episode_0002,N
G,43,0.01976,episode_0002,N
H,43,0.02973,episode_0002,N
A,44,0.02648,episode_0002,N
B,44,0.03701,episode_0002,N
C,44,1.12662,episode_0002,N
D,44,0.03956,episode_0002,N
E,44,0.03712,episode_0002,N
F,44,0.02766,episode_0002,N
G,44,1.03357,episode_0002,N
H,44,0.02492,episode_0002,N
A,45,0.0471,episode_0002,N
B,45,0.03684,episode_0002,N
C,45,0.99029,episode_0002,N
D,45,0.03434,episode_0002,N
E,45,0.02659,episode_0002,N
F,45,0.03368,episode_0002,N
G,45,0.98292,episode_0002,N
H,45,0.0069,episode_0002,N
A,46,0.03253,episode_0002,N
B,46,0.0498,episode_0002,N
C,46,0.93965,episode_0002,N
D,46,0.02498,episode_0002,N
E,46,0.00998,episode_0002,N
F,46,0.0149,episode_0002,N
G,46,0.99635,episode_0002,N
H,46,0.0246,episode_0002,N
A,47,0.01317,episode_0002,N
B,47,0.04846,episode_0002,N
C,47,0.04322,episode_0002,N
D,47,0.02324,episode_0002,N
E,47,0.02944,episode_0002,N
F,47,0.02709,episode_0002,N
G,47,0.02565,episode_0002,N
H,47,0.01915,episode_0002,N
A,48,0.05281,episode_0002,N
B,48,0.02761,episode_0002,N
C,48,0.03708,episode_0002,N
D,48,0.02793,episode_0002,N
E,48,0.0327,episode_0002,N
F,48,0.04554,episode_0002,N
G,48,0.03083,episode_0002,N
H,48,0.0449,episode_0002,N
A,51,1.03031,episode_0003,X
B,51,1.03752,episode_0003,X
C,51,0.02707,episode_0003,X
D,51,0.0354,episode_0003,X
E,51,0.00923,episode_0003,X
F,51,0.01502,episode_0003,X
G,51,0.03372,episode_0003,X
H,51,0.04587,episode_0003,X
A,52,0.95403,episode_0003,X
B,52,0.96774,episode_0003,X
C,52,0.01023,episode_0003,X
D,52,0.02889,episode_0003,X
E,52,0.03106,episode_0003,X
F,52,0.03038,episode_0003,X
G,52,0.03425,episode_0003,X
H,52,0.0341,episode_0003,X
A,53,1.01038,episode_0003,X
B,53,1.00522,episode_0003,X
C,53,0.01789,episode_0003,X
D,53,0.02719,episode_0003,X
E,53,0.02282,episode_0003,X
F,53,0.02359,episode_0003,X
G,53,0.02275,episode_0003,X
H,53,0.03979,episode_0003,X
A,54,0.01992,episode_0003,X
B,54,0.0216,episode_0003,X
C,54,0.01852,episode_0003,X
D,54,0.0297,episode_0003,X
E,54,0.02043,episode_0003,X
F,54,0.009,episode_0003,X
G,54,0.02587,episode_0003,X
H,54,0.02814,episode_0003,X
A,55,0.02536,episode_0003,X
B,55,0.03556,episode_0003,X
C,55,0.02113,episode_0003,X
D,55,0.02421,episode_0003,X
E,55,0.02198,episode_0003,X
F,55,0.0322,episode_0003,X
G,55,0.02521,episode_0003,X
H,55,0.02398,episode_0003,X
A,56,0.05486,episode_0003,X
B,56,1.01631,episode_0003,X
C,56,0.91293,episode_0003,X
D,56,0.0272,episode_0003,X
E,56,0.0311,episode_0003,X
F,56,0.03317,episode_0003,X
G,56,0.01899,episode_0003,X
H,56,0.05096,episode_0003,X
A,57,0.03254,episode_0003,X
B,57,0.99444,episode_0003,X
C,57,0.97813,episode_0003,X
D,57,0.03307,episode_0003,X
E,57,0.0312,episode_0003,X
F,57,0.01858,episode_0003,X
G,57,0.03877,episode_0003,X
H,57,0.02759,episode_0003,X
A,58,0.0193,episode_0003,X
B,58,1.11564,episode_0003,X
C,58,1.03701,episode_0003,X
D,58,0.03121,episode_0003,X
E,58,0.04548,episode_0003,X
F,58,0.04055,episode_0003,X
G,58,0.04409,episode_0003,X
H,58,0.02327,episode_0003,X
A,59,0.03736,episode_0003,X
B,59,0.03488,episode_0003,X
C,59,0.00866,episode_0003,X
D,59,0.03699,episode_0003,X
E,59,0.03068,episode_0003,X
F,59,0.02543,episode_0003,X
G,59,0.02811,episode_0003,X
H,59,0.01613,episode_0003,X
A,60,0.02361,episode_0003,X
B,60,0.0426,episode_0003,X
C,60,0.017,episode_0003,X
D,60,0.03931,episode_0003,X
E,60,0.02573,episode_0003,X
F,60,0.03714,episode_0003,X
G,60,0.03355,episode_0003,X
H,60,0.02464,episode_0003,X
A,61,0.03067,episode_0003,X
B,61,0.02435,episode_0003,X
C,61,1.04425,episode_0003,X
D,61,1.11354,episode_0003,X
E,61,0.02175,episode_0003,X
F,61,0.02682,episode_0003,X
G,61,0.047,episode_0003,X
H,61,0.02031,episode_0003,X
A,62,0.0379,episode_0003,X
B,62,0.02929,episode_0003,X
C,62,1.05137,episode_0003,X
D,62,0.9483,episode_0003,X
E,62,0.03959,episode_0003,X
F,62,0.02111,episode_0003,X
G,62,0.02089,episode_0003,X
H,62,0.01433,episode_0003,X
A,63,0.03497,episode_0003,X
B,63,0.02858,episode_0003,X
C,63,1.02868,episode_0003,X
D,63,0.98781,episode_0003,X
E,63,0.02839,episode_0003,X
F,63,0.021,episode_0003,X
G,63,0.026,episode_0003,X
H,63,0.02175,episode_0003,X
A,64,0.03392,episode_0003,X
B,64,0.05021,episode_0003,X
C,64,0.04777,episode_0003,X
D,64,0.02338,episode_0003,X
E,64,0.03436,episode_0003,X
F,64,0.03049,episode_0003,X
G,64,0.01192,episode_0003,X
H,64,0.00782,episode_0003,X
A,65,0.02274,episode_0003,X
B,65,0.02781,episode_0003,X
C,65,0.01568,episode_0003,X
D,65,0.01934,episode_0003,X
E,65,0.02033,episode_0003,X
F,65,0.01943,episode_0003,X
G,65,0.01628,episode_0003,X
H,65,0.0268,episode_0003,X
A,68,1.00974,episode_0004,Z
B,68,1.02917,episode_0004,Z
C,68,0.02754,episode_0004,Z
D,68,0.02956,episode_0004,Z
E,68,0.01017,episode_0004,Z
F,68,0.03881,episode_0004,Z
G,68,0.02208,episode_0004,Z
H,68,0.0162,episode_0004,Z
A,69,0.94455,episode_0004,Z
B,69,1.05022,episode_0004,Z
C,69,0.02179,episode_0004,Z
D,69,0.03885,episode_0004,Z
E,69,0.02626,episode_0004,Z
F,69,0.0145,episode_0004,Z
G,69,0.00769,episode_0004,Z
H,69,0.0237,episode_0004,Z
A,70,0.94244,episode_0004,Z
B,70,0.96268,episode_0004,Z
C,70,0.02047,episode_0004,Z
D,70,0.01399,episode_0004,Z
E,70,0.00595,episode_0004,Z
F,70,0.0273,episode_0004,Z
G,70,0.03166,episode_0004,Z
H,70,0.02786,episode_0004,Z
A,71,0.00861,episode_0004,Z
B,71,0.02285,episode_0004,Z
C,71,0.03221,episode_0004,Z
D,71,0.02359,episode_0004,Z
E,71,0.03349,episode_0004,Z
F,71,0.0504,episode_0004,Z
G,71,0.01538,episode_0004,Z
H,71,0.05509,episode_0004,Z
A,72,0.01814,episode_0004,Z
B,72,0.02792,episode_0004,Z
C,72,0.02787,episode_0004,Z
D,72,0.03745,episode_0004,Z
E,72,0.02559,episode_0004,Z
F,72,0.0295,episode_0004,Z
G,72,0.02819,episode_0004,Z
H,72,0.03366,episode_0004,Z
A,73,0.03356,episode_0004,Z
B,73,1.03796,episode_0004,Z
C,73,0.01916,episode_0004,Z
D,73,0.03034,episode_0004,Z
E,73,1.00801,episode_0004,Z
F,73,0.02282,episode_0004,Z
G,73,0.02218,episode_0004,Z
H,73,0.02269,episode_0004,Z
A,74,0.0296,episode_0004,Z
B,74,0.96189,episode_0004,Z
C,74,0.04779,episode_0004,Z
D,74,0.03004,episode_0004,Z
E,74,1.00697,episode_0004,Z
F,74,0.03355,episode_0004,Z
G,74,0.02387,episode_0004,Z
H,74,0.03052,episode_0004,Z
A,75,0.02939,episode_0004,Z
B,75,0.92614,episode_0004,Z
C,75,0.02149,episode_0004,Z
D,75,0.02836,episode_0004,Z
E,75,0.95893,episode_0004,Z
F,75,0.01359,episode_0004,Z
G,75,0.03536,episode_0004,Z
H,75,0.01985,episode_0004,Z
A,76,0.03031,episode_0004,Z
B,76,0.02407,episode_0004,Z
C,76,0.01182,episode_0004,Z
D,76,0.04618,episode_0004,Z
E,76,0.02662,episode_0004,Z
F,76,0.02626,episode_0004,Z
G,76,0.02939,episode_0004,Z
H,76,0.02918,episode_0004,Z
A,77,0.02853,episode_0004,Z
B,77,0.02452,episode_0004,Z
C,77,0.03641,episode_0004,Z
D,77,0.02504,episode_0004,Z
E,77,0.04174,episode_0004,Z
F,77,0.0439,episode_0004,Z
G,77,0.02826,episode_0004,Z
H,77,0.01633,episode_0004,Z
A,78,0.02469,episode_0004,Z
B,78,0.01258,episode_0004,Z
C,78,0.0298,episode_0004,Z
D,78,0.0399,episode_0004,Z
E,78,1.02012,episode_0004,Z
F,78,1.08758,episode_0004,Z
G,78,0.02968,episode_0004,Z
H,78,0.02139,episode_0004,Z
A,79,0.01803,episode_0004,Z
B,79,0.03227,episode_0004,Z
C,79,0.03654,episode_0004,Z
D,79,0.0264,episode_0004,Z
E,79,1.032,episode_0004,Z
F,79,1.05927,episode_0004,Z
G,79,0.04362,episode_0004,Z
H,79,0.01469,episode_0004,Z
A,80,0.03314,episode_0004,Z
B,80,0.03911,episode_0004,Z
C,80,0.02074,episode_0004,Z
D,80,0.03666,episode_0004,Z
E,80,1.01705,episode_0004,Z
F,80,0.97717,episode_0004,Z
G,80,0.02016,episode_0004,Z
H,80,0.04192,episode_0004,Z
A,81,0.01865,episode_0004,Z
B,81,0.02549,episode_0004,Z
C,81,0.03238,episode_0004,Z
D,81,0.02295,episode_0004,Z
E,81,0.02513,episode_0004,Z
F,81,0.03179,episode_0004,Z
G,81,0.02366,episode_0004,Z
H,81,0.02907,episode_0004,Z
A,82,0.02291,episode_0004,Z
B,82,0.02948,episode_0004,Z
C,82,0.03722,episode_0004,Z
D,82,0.04267,episode_0004,Z
E,82,0.024,episode_0004,Z
F,82,0.0351,episode_0004,Z
G,82,0.04398,episode_0004,Z
H,82,0.0406,episode_0004,Z
A,85,0.04592,episode_0005,N
B,85,1.08576,episode_0005,N
C,85,0.99,episode_0005,N
D,85,0.03085,episode_0005,N
E,85,0.02469,episode_0005,N
F,85,0.04609,episode_0005,N
G,85,0.03258,episode_0005,N
H,85,0.03187,episode_0005,N
A,86,0.02942,episode_0005,N
B,86,0.96984,episode_0005,N
C,86,0.87072,episode_0005,N
D,86,0.02244,episode_0005,N
E,86,0.04554,episode_0005,N
F,86,0.03258,episode_0005,N
G,86,0.04431,episode_0005,N
H,86,0.03029,episode_0005,N
A,87,0.01381,episode_0005,N
B,87,1.06319,episode_0005,N
C,87,1.06683,episode_0005,N
D,87,0.01765,episode_0005,N
E,87,0.03279,episode_0005,N
F,87,0.03416,episode_0005,N
G,87,0.02239,episode_0005,N
H,87,0.03061,episode_0005,N
A,88,0.01692,episode_0005,N
B,88,0.0251,episode_0005,N
C,88,0.01653,episode_0005,N
D,88,0.03182,episode_0005,N
E,88,0.05007,episode_0005,N
F,88,0.0232,episode_0005,N
G,88,0.02783,episode_0005,N
H,88,0.04709,episode_0005,N
A,89,0.01844,episode_0005,N
B,89,0.03336,episode_0005,N
C,89,0.01628,episode_0005,N
D,89,0.03535,episode_0005,N
E,89,0.02357,episode_0005,N
F,89,0.03572,episode_0005,N
G,89,0.02688,episode_0005,N
H,89,0.02427,episode_0005,N
A,90,0.02717,episode_0005,N
B,90,1.13067,episode_0005,N
C,90,0.01873,episode_0005,N
D,90,1.00748,episode_0005,N
E,90,0.01839,episode_0005,N
F,90,0.02285,episode_0005,N
G,90,0.05829,episode_0005,N
H,90,0.04818,episode_0005,N
A,91,0.04468,episode_0005,N
B,91,0.93988,episode_0005,N
C,91,0.02823,episode_0005,N
D,91,0.95043,episode_0005,N
E,91,0.02836,episode_0005,N
F,91,0.04931,episode_0005,N
G,91,0.02955,episode_0005,N
H,91,0.0222,episode_0005,N
A,92,0.0391,episode_0005,N
B,92,1.00587,episode_0005,N
C,92,0.04633,episode_0005,N
D,92,0.94252,episode_0005,N
E,92,0.01764,episode_0005,N
F,92,0.05362,episode_0005,N
G,92,0.02284,episode_0005,N
H,92,0.04629,episode_0005,N
A,93,0.02666,episode_0005,N
B,93,0.03291,episode_0005,N
C,93,0.03607,episode_0005,N
D,93,0.02596,episode_0005,N
E,93,0.02558,episode_0005,N
F,93,0.02855,episode_0005,N
G,93,0.03101,episode_0005,N
H,93,0.0158,episode_0005,N
A,94,0.02057,episode_0005,N
B,94,0.04706,episode_0005,N
C,94,0.02651,episode_0005,N
D,94,0.01486,episode_0005,N
E,94,0.02344,episode_0005,N
F,94,0.05651,episode_0005,N
G,94,0.01968,episode_0005,N
H,94,0.02786,episode_0005,N
A,95,1.0234,episode_0005,N
B,95,0.03223,episode_0005,N
C,95,0.0308,episode_0005,N
D,95,0.02284,episode_0005,N
E,95,0.01084,episode_0005,N
F,95,1.02653,episode_0005,N
G,95,0.02938,episode_0005,N
H,95,0.02652,episode_0005,N
A,96,1.03262,episode_0005,N
B,96,0.02423,episode_0005,N
C,96,0.03282,episode_0005,N
D,96,0.04028,episode_0005,N
E,96,0.03843,episode_0005,N
F,96,0.95467,episode_0005,N
G,96,0.01997,episode_0005,N
H,96,0.02573,episode_0005,N
A,97,0.93909,episode_0005,N
B,97,0.04645,episode_0005,N
C,97,0.04789,episode_0005,N
D,97,0.0449,episode_0005,N
E,97,0.03717,episode_0005,N
F,97,1.0849,episode_0005,N
G,97,0.03421,episode_0005,N
H,97,0.0428,episode_0005,N
A,98,0.03417,episode_0005,N
B,98,0.02309,episode_0005,N
C,98,0.02854,episode_0005,N
D,98,0.03463,episode_0005,N
E,98,0.05027,episode_0005,N
F,98,0.03744,episode_0005,N
G,98,0.02909,episode_0005,N
H,98,0.03421,episode_0005,N
A,99,0.03759,episode_0005,N
B,99,0.01107,episode_0005,N
C,99,0.03379,episode_0005,N
D,99,0.04407,episode_0005,N
E,99,0.03167,episode_0005,N
F,99,0.02798,episode_0005,N
G,99,0.03118,episode_0005,N
H,99,0.04589,episode_0005,N
A,102,0.99461,episode_0006,X
B,102,0.94516,episode_0006,X
C,102,0.02543,episode_0006,X
D,102,0.01851,episode_0006,X
E,102,0.04481,episode_0006,X
F,102,0.04585,episode_0006,X
G,102,0.02093,episode_0006,X
H,102,0.04264,episode_0006,X
A,103,0.99421,episode_0006,X
B,103,1.00037,episode_0006,X
C,103,0.01837,episode_0006,X
D,103,0.03747,episode_0006,X
E,103,0.02859,episode_0006,X
F,103,0.03025,episode_0006,X
G,103,0.01662,episode_0006,X
H,103,0.02507,episode_0006,X
A,104,1.00106,episode_0006,X
B,104,0.98178,episode_0006,X
C,104,0.03753,episode_0006,X
D,104,0.0212,episode_0006,X
E,104,0.0283,episode_0006,X
F,104,0.02823,episode_0006,X
G,104,0.02549,episode_0006,X
H,104,0.02635,episode_0006,X
A,105,0.03105,episode_0006,X
B,105,0.0365,episode_0006,X
C,105,0.0277,episode_0006,X
D,105,0.02288,episode_0006,X
E,105,0.04103,episode_0006,X
F,105,0.02695,episode_0006,X
G,105,0.04078,episode_0006,X
H,105,0.02149,episode_0006,X
A,106,0.01886,episode_0006,X
B,106,0.02138,episode_0006,X
C,106,0.02088,episode_0006,X
D,106,0.03411,episode_0006,X
E,106,0.03134,episode_0006,X
F,106,0.0333,episode_0006,X
G,106,0.02933,episode_0006,X
H,106,0.03277,episode_0006,X
A,107,0.02162,episode_0006,X
B,107,1.00961,episode_0006,X
C,107,0.97383,episode_0006,X
D,107,0.05176,episode_0006,X
E,107,0.0247,episode_0006,X
F,107,0.02834,episode_0006,X
G,107,0.03189,episode_0006,X
H,107,0.03214,episode_0006,X
A,108,0.03277,episode_0006,X
B,108,0.99655,episode_0006,X
C,108,1.04403,episode_0006,X
D,108,0.02613,episode_0006,X
E,108,0.02745,episode_0006,X
F,108,0.03407,episode_0006,X
G,108,0.02069,episode_0006,X
H,108,0.03146,episode_0006,X
A,109,0.02426,episode_0006,X
B,109,0.9471,episode_0006,X
C,109,0.97735,episode_0006,X
D,109,0.03783,episode_0006,X
E,109,0.01268,episode_0006,X
F,109,0.0259,episode_0006,X
G,109,0.02485,episode_0006,X
H,109,0.00865,episode_0006,X
A,110,0.01581,episode_0006,X
B,110,0.02587,episode_0006,X
C,110,0.01629,episode_0006,X
D,110,0.02988,episode_0006,X
E,110,0.03564,episode_0006,X
F,110,0.02208,episode_0006,X
G,110,0.0345,episode_0006,X
H,110,0.04238,episode_0006,X
A,111,0.02216,episode_0006,X
B,111,0.04033,episode_0006,X
C,111,0.04053,episode_0006,X
D,111,0.0423,episode_0006,X
E,111,0.02901,episode_0006,X
F,111,0.03165,episode_0006,X
G,111,0.02079,episode_0006,X
H,111,0.03778,episode_0006,X
A,112,0.0365,episode_0006,X
B,112,0.03278,episode_0006,X
C,112,0.96185,episode_0006,X
D,112,1.03357,episode_0006,X
E,112,0.02338,episode_0006,X
F,112,0.01157,episode_0006,X
G,112,0.02763,episode_0006,X
H,112,0.02074,episode_0006,X
